;14:03;14:08;14:13;14:18;14:23;14:28;14:33;14:38;14:43;14:48;14:53;14:58;15:03;15:08;15:13;15:18;15:23;15:28;15:33;15:38;15:43;15:48;15:53;15:58;16:03;16:08;16:13;16:18;16:23;16:28;16:33;16:38;16:43;16:48;16:53;16:58
0-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50-100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100-200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;2;2;14;12;11;6;0;0;0;0;0;0;0;0;0
